id,alpha
337,3.5931485046266856
338,4.4505399793087115
339,3.7817476928324925
340,4.253270864124709
341,3.3286709138436374
342,4.483416794158492
343,3.0740610950089025
344,3.574799204180877
345,3.6951499932290286
346,3.488367096632294
347,2.9337690058969454
348,3.503167187429858
349,3.9186554876531257
350,3.631468694840594
351,3.4504938545031
352,4.068736126850549
353,3.6591625122988223
354,3.7701609149138586
355,3.160643712711461
356,3.705884932214014
357,4.145771691313314
358,4.2456650506757985
359,4.07641954516803
360,4.167798242129396
361,4.096694312391968
362,3.9235116461300104
363,3.304204331269871
364,4.952432946682071
365,3.828641563731299
366,3.978859669306049
367,3.0838858306593826
368,3.3873548889735074
369,3.586464655108075
370,4.640951003477574
371,4.157764346738536
372,3.9147290033125355
373,2.864512401919128
374,4.040589499028138
375,3.631435074229774
376,3.576267641121566
377,3.485649054167968
378,4.520425055392959
379,4.225430631253939
380,3.78964190665824
381,3.613035012630221
382,3.8618178750446934
383,3.584759606183083
384,4.277949093394344
385,4.149989771803455
386,3.9095196666159286
387,3.2637615271856824
388,4.376356396577334
389,3.955703728043961
390,4.12973343310807
391,3.517372683765311
392,4.523796164628658
393,4.250621415971352
394,3.8887068148145585
395,3.6480226765084938
396,4.2452832367183175
397,3.7589779390071993
398,3.386615453322569
399,3.4427878475414415
400,4.250307469973961
401,3.6816413561100423
402,3.2340295187807886
403,3.1846417209469755
404,4.297721276474669
405,3.902555561796692
406,3.9881017141003436
407,3.137638888378523
408,3.9667466600625096
409,3.759991460472749
410,3.120370500718695
411,2.833495417110794
412,4.188751395832374
413,3.9239386866101
414,3.940059759381359
415,4.644423766211849
416,3.6552788903454045
417,4.523107214775795
418,4.1410243939550835
419,4.278873254092178
420,3.6346600573003904
421,4.2338211465752975
422,3.9522287860631944
423,3.21987650543216
424,4.1632633219218205
425,4.121364713751971
426,4.103996479390759
427,3.7781131283153884
428,3.0568637793800084
429,3.6254729013550326
430,2.9831498803989103
431,4.079554345466282
432,3.740813594185491
433,4.063467617115317
434,3.524911879779842
435,3.933087431863298
436,3.697874842076574
437,3.2318522072618134
438,3.264625486758492
439,3.686940775712372
440,3.7289514880740176
441,4.2792049045228975
442,4.208111008851826
443,4.270951317845835
444,4.026250905524499
445,3.664462399962631
446,3.738872162828865
447,3.435450872773181
448,3.2463219369125587
449,4.390311511530659
450,3.834228659917141
451,3.891509730734427
452,3.581668968664054
453,3.255163077598587
